,Index,Classifier,Popularity,Adjacents,Distribution,Jump
0,0,Swiss Food,1.3199999999999998,3,0.004001683274595177,0.0
1,1,Churros,1.12,3,0.004001683274595177,9.791629320976894e-05
2,2,Milkshake Bars,1.12,4,0.004099599567804946,9.855832526044911e-05
3,3,Trinidadian,2.32,5,0.004198157893065395,0.0
4,4,Pita,2.12,5,0.004198157893065395,0.0
5,5,Indonesian,3.120000000000001,5,0.004198157893065395,0.0
6,6,Cabaret,1.3199999999999998,5,0.004198157893065395,0.0
7,7,Syrian,1.3199999999999998,5,0.004198157893065395,9.913248809772287e-05
8,8,Sicilian,2.32,6,0.004297290381163118,0.0
9,9,Cheese Tasting Classes,3.3200000000000007,6,0.004297290381163118,0.0
10,10,Czech,1.5199999999999998,6,0.004297290381163118,0.0
11,11,Wine Tours,3.120000000000001,6,0.004297290381163118,0.0
12,12,Dinner Theater,1.5199999999999998,6,0.004297290381163118,0.0
13,13,Country Clubs,2.12,6,0.004297290381163118,9.96364369530026e-05
14,14,Hong Kong Style Cafe,4.7200000000000015,7,0.004396926818116121,0.0
15,15,Cideries,3.120000000000001,7,0.004396926818116121,0.0
16,16,Scandinavian,2.72,7,0.004396926818116121,0.0
17,17,Supper Clubs,2.32,7,0.004396926818116121,0.00010006789034834596
18,18,Coffeeshops,4.920000000000002,8,0.004496994708464467,0.0
19,19,Slovakian,2.12,8,0.004496994708464467,0.0
20,20,Scottish,2.72,8,0.004496994708464467,0.00010042463639550227
21,21,Bar Crawl,3.5200000000000014,9,0.004597419344859969,0.0
22,22,Teppanyaki,4.120000000000001,9,0.004597419344859969,0.0
23,23,Wine Tasting Classes,2.32,9,0.004597419344859969,0.0
24,24,Sri Lankan,7.520000000000004,9,0.004597419344859969,0.0
25,25,Beer Garden,2.12,9,0.004597419344859969,0.0
26,26,Kombucha,4.520000000000001,9,0.004597419344859969,0.0
27,27,Burmese,3.120000000000001,9,0.004597419344859969,0.0
28,28,Beach Bars,2.12,9,0.004597419344859969,0.0
29,29,Hotel bar,3.120000000000001,9,0.004597419344859969,0.00010070453906463935
30,30,Farms,6.920000000000004,10,0.004698123883924608,0.0
31,31,Austrian,3.120000000000001,10,0.004698123883924608,0.0
32,32,Basque,2.9200000000000004,10,0.004698123883924608,0.0
33,33,Comedy Clubs,3.3200000000000007,10,0.004698123883924608,0.00010090554440355531
34,34,Malaysian,6.920000000000004,11,0.0047990294283281635,0.0
35,35,Pub Food,3.720000000000001,11,0.0047990294283281635,0.0001010256866878223
36,36,Bangladeshi,4.520000000000001,12,0.004900055115015986,0.0
37,37,Singaporean,6.520000000000002,12,0.004900055115015986,0.00010106309448222606
38,38,Egyptian,4.920000000000002,13,0.005001118209498212,0.0
39,39,Cinema,9.919999999999998,13,0.005001118209498212,0.0
40,40,Food Tours,9.72,13,0.005001118209498212,0.0
41,41,Champagne Bars,2.9200000000000004,13,0.005001118209498212,0.00010101599659364559
42,42,Australian,7.320000000000004,14,0.0051021342060918575,0.00010088272789547485
43,43,Tasting Classes,5.720000000000002,15,0.005203016933987332,0.0001006617350037273
44,44,Country Dance Halls,4.7200000000000015,16,0.00530367866899106,0.0
45,45,Wine Tasting Room,12.719999999999988,16,0.00530367866899106,0.0
46,46,Salvadoran,11.719999999999994,16,0.00530367866899106,0.0
47,47,South African,6.520000000000002,16,0.00530367866899106,0.0
48,48,Cambodian,5.320000000000002,16,0.00530367866899106,0.00010035158178505268
49,49,Bartenders,7.720000000000003,17,0.005404030250776112,0.0
50,50,Dominican,6.720000000000002,17,0.005404030250776112,0.0
51,51,Armenian,4.920000000000002,17,0.005404030250776112,9.995095467702289e-05
52,52,Amusement Parks,18.71999999999997,18,0.005503981205453135,0.0
53,53,Izakaya,6.520000000000002,18,0.005503981205453135,9.945866780133612e-05
54,54,Hungarian,7.120000000000004,19,0.005603439873254471,0.0
55,55,Themed Cafes,13.519999999999984,19,0.005603439873254471,0.0
56,56,Laotian,8.120000000000005,19,0.005603439873254471,9.887366785089023e-05
57,57,Hakka,7.720000000000003,20,0.0057023135411053616,0.0
58,58,Szechuan,14.319999999999983,20,0.0057023135411053616,9.819503873208062e-05
59,59,Ethical Grocery,14.519999999999984,21,0.005800508579837442,0.0
60,60,Irish Pub,24.319999999999947,21,0.005800508579837442,0.0
61,61,New Mexican Cuisine,9.919999999999998,21,0.005800508579837442,9.742200594415988e-05
62,62,Speakeasies,8.320000000000004,22,0.005897930585781602,0.0
63,63,Pop-Up Restaurants,8.320000000000004,22,0.005897930585781602,9.65539406780451e-05
64,64,Cantonese,19.319999999999965,23,0.005994484526459647,0.0
65,65,Venezuelan,17.319999999999975,23,0.005994484526459647,0.0
66,66,Bowling,21.31999999999996,23,0.005994484526459647,9.559036361762602e-05
67,67,Nutritionists,31.919999999999924,24,0.006090074890077273,0.0
68,68,Mongolian,14.319999999999983,24,0.006090074890077273,0.0
69,69,Festivals,18.91999999999997,24,0.006090074890077273,0.0
70,70,Kebab,11.519999999999992,24,0.006090074890077273,0.0
71,71,Puerto Rican,16.319999999999975,24,0.006090074890077273,9.453094842726707e-05
72,72,Bed & Breakfast,62.920000000000364,25,0.00618460583850454,9.337552491008386e-05
73,73,Herbs & Spices,15.119999999999981,26,0.006277981363414624,0.0
74,74,Russian,14.319999999999983,26,0.006277981363414624,0.0
75,75,Himalayan/Nepalese,11.519999999999992,26,0.006277981363414624,9.212408182232741e-05
76,76,Ethiopian,22.519999999999953,27,0.0063701054452369515,0.0001801106704264954
77,77,Ukrainian,13.519999999999984,29,0.006550216115663447,0.0
78,78,Empanadas,13.319999999999983,29,0.006550216115663447,8.779595598441825e-05
79,79,Peruvian,17.91999999999997,30,0.006638012071647865,0.0
80,80,Moroccan,16.519999999999975,30,0.006638012071647865,8.616357937138008e-05
81,81,Afghan,23.119999999999948,31,0.006724175651019245,8.443758405750953e-05
82,82,Gas Stations,69.92000000000046,32,0.006808613235076755,0.0
83,83,Ethnic Grocery,25.319999999999947,32,0.006808613235076755,0.0
84,84,Pretzels,40.52000000000004,32,0.006808613235076755,8.261895076681989e-05
85,85,Pan Asian,18.71999999999997,33,0.006891232185843575,0.0
86,86,Cuban,26.519999999999943,33,0.006891232185843575,0.0
87,87,Colombian,27.319999999999933,33,0.006891232185843575,8.070882823042747e-05
88,88,Whiskey Bars,24.519999999999946,34,0.006971941014074002,7.870853284751289e-05
89,89,Dim Sum,64.32000000000038,35,0.007050649546921515,0.0
90,90,Hot Pot,24.519999999999946,35,0.007050649546921515,7.661954791962286e-05
91,91,Macarons,32.519999999999925,36,0.007127269094841138,7.444352245547514e-05
92,92,Brewpubs,59.520000000000316,37,0.007201712617296613,7.218226954486436e-05
93,93,Irish,49.32000000000015,38,0.007273894886841477,0.0
94,94,Fondue,20.119999999999962,38,0.007273894886841477,6.98377643016208e-05
95,95,Personal Chefs,53.32000000000022,39,0.007343732651143098,6.741214137715845e-05
96,96,Cooking Classes,27.519999999999932,40,0.007411144792520257,0.0
97,97,Turkish,38.12000000000001,40,0.007411144792520257,0.0
98,98,Arabian,31.919999999999924,40,0.007411144792520257,6.490769204742577e-05
99,99,Coffee Roasteries,88.32000000000072,41,0.007476052484567682,0.0
100,100,Brasseries,63.52000000000037,41,0.007476052484567682,0.0
101,101,British,57.120000000000275,41,0.007476052484567682,6.232686087770736e-05
102,102,Candy Stores,44.520000000000095,42,0.00753837934544539,0.0
103,103,Brazilian,26.719999999999942,42,0.00753837934544539,0.0
104,104,Falafel,49.72000000000017,42,0.00753837934544539,0.00011661881677872167
105,105,Polish,40.320000000000036,44,0.007654998162224111,0.0
106,106,Belgian,37.52,44,0.007654998162224111,5.41527396838732e-05
